parent,formal_parent,src,dst,n_src,n_dst,graph_action,delta_U_rel,delta_U0,barrier_U_rel,direction,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,reversible,keep,keep_reason
macrophages,Macrophages,AM (Bleo),Cd163+/Cd11c- IMs,3286,480,0.1878324305254285,-0.5163584181710749,-0.00021521836771670744,0.2162239633754287,relax,15,0.5333333333333333,0.06666666666666667,0.4,21.0,3.0,0.0022471694309892493,weak,0.21527662417202373,1.1461099852069143,True,True,mst
macrophages,Macrophages,M2 macrophages,AM (PBS),2361,1194,1.0312931415212623,-0.48474638691713057,-0.00020204246213006982,0.5767402409345925,relax,37,0.2972972972972973,0.16216216216216217,0.5405405405405405,10.0,0.0,0.0028471431888323273,weak,1.048265892036831,1.0164577362451144,True,False,not_kept
macrophages,Macrophages,M2 macrophages,AM (Bleo),2361,3286,0.3636765922004208,0.09460157099473339,3.94299675892662e-05,0.4144292631362384,climb,21,0.3333333333333333,0.23809523809523808,0.42857142857142866,10.0,21.0,0.1777211248154909,strong,0.35513831983165633,0.9765223482818065,True,False,not_kept
macrophages,Macrophages,M2 macrophages,Resolution macrophages,2361,1935,0.22150752157637427,-0.04433177421995017,-1.8477498864799546e-05,0.9345394184248854,flat,18,0.2777777777777778,0.2222222222222222,0.5,10.0,7.0,0.0492287176496628,weak,0.22001629004559065,0.9932678063428075,True,True,mst+local_cheap
macrophages,Macrophages,M2 macrophages,Fn1+ macrophages,2361,247,0.259662976558721,-0.35466003646499145,-0.0001478224261602934,0.22323122144778063,relax,14,0.2857142857142857,0.21428571428571427,0.5,10.0,14.0,0.008600016627308998,none,0.25712433227646575,0.9902233105508926,True,True,local_cheap
macrophages,Macrophages,M2 macrophages,Cd163-/Cd11c+ IMs,2361,734,0.6677035439176872,-0.5073036214353737,-0.0002114443252979603,0.3307711820683642,relax,45,0.17777777777777778,0.06666666666666667,0.7555555555555555,10.0,7.0,0.014013647816698387,weak,0.6674732543851077,0.9996551021247726,True,False,not_kept
macrophages,Macrophages,M2 macrophages,Cd163+/Cd11c- IMs,2361,480,0.5483658316291028,-0.4217568471763415,-0.00017578840012744124,0.6306532265116671,relax,36,0.19444444444444445,0.027777777777777776,0.7777777777777778,10.0,3.0,0.0005649704998029574,weak,0.5521405616652407,1.0068835981700701,True,False,not_kept
macrophages,Macrophages,Resolution macrophages,AM (PBS),1935,1194,0.8319922895066927,-0.4404146126971804,-0.00018356496326527028,0.5216832132232566,relax,52,0.19230769230769232,0.17307692307692307,0.6346153846153846,7.0,0.0,0.0,weak,0.8456486558586591,1.0164140539800521,True,False,not_kept
macrophages,Macrophages,Resolution macrophages,AM (Bleo),1935,3286,0.14584567572638676,0.13893334521468356,5.790746645406575e-05,0.6053412942911308,climb,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,7.0,21.0,0.0,weak,0.13743257594022504,0.9423150549702454,True,True,local_cheap
macrophages,Macrophages,Resolution macrophages,M2 macrophages,1935,2361,0.22001629004559065,0.04433177421995017,1.8477498864799546e-05,1.0437954422468612,flat,17,0.23529411764705882,0.17647058823529413,0.588235294117647,7.0,10.0,0.14379214320133588,strong,0.22150752157637427,1.00677782326694,True,True,mst
