gene,score,logfoldchange,pval,pval_adj,comparison,direction
ST6GALNAC1,-4.194654,-0.75691646,2.7328837031943116e-05,0.000172240569529,deep_valley_vs_other_EOC,down_in_group_1
FBXO2,-4.156962,-0.36677265,3.225076360897001e-05,0.0002028349912513,deep_valley_vs_other_EOC,down_in_group_1
FAM46B,4.15021,0.50491506,3.321704595831925e-05,0.0002084751838388,deep_valley_vs_other_EOC,up_in_group_1
PITX1,4.096156,1.0157576,4.200669820438957e-05,0.0002630899678771,deep_valley_vs_other_EOC,up_in_group_1
CRIP1,-4.088116,-0.21730132,4.348900688664095e-05,0.0002718062930415,deep_valley_vs_other_EOC,down_in_group_1
SAA2,4.0476165,1.009231,5.174179211007082e-05,0.0003227138801043,deep_valley_vs_other_EOC,up_in_group_1
CD74,4.0293264,0.1322975,5.593688111875004e-05,0.0003481548617349,deep_valley_vs_other_EOC,up_in_group_1
MACROD2,4.0244904,0.49285114,5.709888051206314e-05,0.0003546514317519,deep_valley_vs_other_EOC,up_in_group_1
FAM83A,-4.0188375,-0.32203293,5.848603920574277e-05,0.0003625167719364,deep_valley_vs_other_EOC,down_in_group_1
RIC3,3.9987571,0.4207452,6.367599973903956e-05,0.0003938721633342,deep_valley_vs_other_EOC,up_in_group_1
BIRC3,3.9591994,0.14026149,7.52013873084646e-05,0.0004642060944966,deep_valley_vs_other_EOC,up_in_group_1
TNIP3,3.931532,1.6995393,8.44062961438599e-05,0.0005199566497568,deep_valley_vs_other_EOC,up_in_group_1
JUND,3.9223177,0.17812906,8.770123871590584e-05,0.000539146959319,deep_valley_vs_other_EOC,up_in_group_1
CDC20,3.9012074,0.7151144,9.571410375955563e-05,0.0005872030905494,deep_valley_vs_other_EOC,up_in_group_1
DSC2,-3.8865728,-0.09800536,0.0001016694666082,0.0006224661220916,deep_valley_vs_other_EOC,down_in_group_1
MFAP2,-3.8691995,-0.17746456,0.0001091932235538,0.0006671683720191,deep_valley_vs_other_EOC,down_in_group_1
MT-RNR2,3.8602178,0.1711696,0.0001132859935674,0.00069076825346,deep_valley_vs_other_EOC,up_in_group_1
LY6G6C,-3.8526177,-1.3123909,0.0001168616969308,0.0007111259448124,deep_valley_vs_other_EOC,down_in_group_1
HN1,-3.8510852,-0.1734737,0.0001175955264376,0.0007141428731033,deep_valley_vs_other_EOC,down_in_group_1
DUSP1,-3.8445468,-0.29450664,0.0001207754259747,0.0007319722786345,deep_valley_vs_other_EOC,down_in_group_1
PCSK1N,-3.8430772,-0.17387113,0.000121501291418,0.0007348868432544,deep_valley_vs_other_EOC,down_in_group_1
CA2,-3.833819,-0.9622987,0.0001261690301746,0.0007615836831468,deep_valley_vs_other_EOC,down_in_group_1
KRT14,-3.8332787,-1.4421675,0.0001264465206222,0.0007616377864476,deep_valley_vs_other_EOC,down_in_group_1
HOXD1,-3.832814,-0.7495767,0.0001266857518124,0.0007616377864476,deep_valley_vs_other_EOC,down_in_group_1
GAS5,3.8293219,0.1474155,0.0001284969106745,0.000770981464047,deep_valley_vs_other_EOC,up_in_group_1
