,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC
Meg3,0.9588600106411546,0.666128898535459,3.6256728126153344,0.6607506239782429,0.6499704168978674,0.5922890511747699,0.6584035872874069,0.7473784519934857,0.7657392575796477
Kif21a,1.444811305577032,1.5698275408906939,3.8664017697858926,1.5077801404066054,1.7166897491351456,1.4899528554266137,1.5041953291225811,1.6881999190051122,1.529124003012173
Gap43,1.5668297619896108,1.8353872585932576,3.3190659526427617,1.6704547163719605,1.7486696053302127,1.5937609118407292,1.6622331907396526,1.85272184129326,1.705614857852397
Sema6a,0.2315574163066933,0.2514820933239377,0.7797289138144755,0.1931721300677632,0.29329856179882635,0.1979772410334781,0.5034455311758848,0.2612952115295979,0.20048020916095954
Tubb6,0.18094592077702526,0.19676853968582136,0.4012268173140834,0.11114355801045692,0.15057590064422333,0.11553474430111367,0.15752904372595422,0.17923820363329093,0.15337081684691056
Gal,0.8293195663033118,1.111861145705253,1.6795122925661987,0.9075527701090643,1.073814144779916,0.8540781611288416,0.8362300740497315,1.0875721268541771,0.9889771052987057
Malat1,4.287896894481784,3.8321362765814726,5.495356219283051,2.893936120375787,4.84003664610638,4.095092245754343,4.1663946796298035,3.6752854123850414,4.3271619613745855
Tmem233,0.5001271403225265,0.5677755911387934,1.99729667472327,0.5452342509850705,0.5041300217835057,0.5013039843802989,0.47817553779874616,0.6507538747936876,0.5487067546248163
Tubb2b,0.920501023094294,1.0758371870951335,3.163554097524173,0.9715040047193236,1.0258847873002352,0.9564473929017828,0.938316943125979,1.1047331321992644,0.9972157214277905
Rgs10,0.8038461206157954,1.209731627476561,2.799337097886105,0.9111964329833737,0.8056972574581113,0.7984330028473346,0.7290065433042675,0.921271844767024,0.8501643525284487
Ucn,0.06424323265145929,0.09081649819279936,0.1984600662898353,0.07786163575884006,0.09354159649652387,0.0731512601347924,0.07406336619305179,0.091832518781094,0.07004530661847833
Gng3,1.8021480743040201,1.9299240884903035,4.139665458248276,1.942133274678217,1.8670500948771678,1.8075927482185552,1.731428711839468,2.046992789651024,1.9041883432251165
Etv1,0.835442235933003,0.6968223880068554,1.368769792241969,0.6423612710011003,0.7557821550088899,0.6624376927459282,0.7068409772684123,0.7803897371515215,0.7117150697349646
Dgkh,0.7360250486043645,0.7966236172506771,3.4960997101112894,0.7456003146073149,0.7178904668917105,0.7359138316077803,0.8999207374402854,0.9124237436377246,0.8037894853353618
Ppp1r1c,0.9677732157951525,1.0229784208481678,2.9427367557682884,0.9988665925110111,0.9673163073733103,0.9471842344199025,0.9242359263820029,1.0982312701840058,0.9798242491721451
Tln2,0.27420835967980695,0.31468608494101497,1.6860775939444994,0.2922427023074474,0.39053290440352634,0.288571345582407,0.3245084312299284,0.351122662694152,0.2954199877713248
Bex3,0.8163071988915245,0.8333175817863665,3.0601039483622086,0.8446174752539294,0.8477264637629021,0.7737758546515805,0.8749203213960939,0.8622307984987306,0.8486290328741334
Gm26870,0.1434442291637809,0.14752751997780442,0.076447083226042,0.1780528621575756,0.1475862467750852,0.15671533831407145,0.11045159378883787,0.17945854141524997,0.14056401404432137
Scg3,0.5367559061297071,0.6764100731169769,2.584433199675475,0.6359101695917826,0.8444080962929167,0.5721935803753592,0.5277461915002403,0.7390049602835322,0.6251013750096995
Gfra1,0.549165050050684,0.5018543029212631,1.1286698159380344,0.3639195469528832,0.47676872353635863,0.5009431985769683,0.45180873834033064,0.5207254283720869,0.4379786408188168
Selenow,2.219737389402563,2.271884496197136,4.636223147821895,2.22889105483491,2.309458196854538,2.171417987460916,2.359672479919813,2.3200357410552126,2.378743528310862
Kif5b,1.2311187334421887,1.3459858919005967,3.4568310024267572,1.1929792244639514,1.3566730842782646,1.428907697664345,1.6358058160445854,1.4683736523573543,1.3521631207385805
Asap1,0.5882649558445908,0.6447214929872577,2.2493386776136375,0.5869943845736827,0.5784910897263252,0.5658907744816948,0.7243813147705186,0.7648288161843944,0.6329115243157812
