gene_idx,U,pval,mean_late,mean_control,log1p_diff,n_late,n_control,gene,pval_adj,significant
2042,37091037.0,5.0993120396785745e-43,0.7637609710391261,1.0127768597356512,-0.24901588869652513,15298,5509,Prkar2a,2.060061806280783e-42,True
2346,45056275.5,6.810488517158137e-43,0.11343194827047547,0.04819431334565543,0.06523763492482004,15298,5509,Pxdc1,2.7472988339863576e-42,False
610,36939037.5,7.18776607156548e-43,1.4447072375508792,1.6976228828832207,-0.25291564533234157,15298,5509,Mllt11,2.895219470652664e-42,True
2936,44664933.5,1.0254680037381244e-42,0.145389598111458,0.054087823422971824,0.09130177468848616,15298,5509,Ms4a7,4.124492632682015e-42,False
1726,39278589.5,1.0374918072997469e-42,0.08533988946953026,0.1726737368596188,-0.08733384739008852,15298,5509,Ptger1,4.166725540330114e-42,False
2615,45670546.5,1.0688366154727458e-42,0.2027195342850545,0.113729137256243,0.0889903970288115,15298,5509,Tuba1c,4.286316925686158e-42,False
2623,37493435.0,1.1937468807428104e-42,0.38542968467360095,0.49894132140513286,-0.11351163673153192,15298,5509,Scn8a,4.7802309206904636e-42,True
1179,38156241.0,1.2334480319088533e-42,0.24161801205535738,0.3839513660731271,-0.1423333540177697,15298,5509,Grm7,4.9319888410390555e-42,True
2321,40079620.5,1.3088126504727546e-42,0.038727475016265944,0.0884729954501184,-0.049745520433852455,15298,5509,Hist1h2ae,5.2256972248802686e-42,False
2256,37901243.5,1.4275276576496931e-42,0.26775630086849805,0.3898894153671168,-0.12213311449861874,15298,5509,Adam11,5.691382133632523e-42,True
2735,38852918.5,1.5796520927077284e-42,0.12436317365880199,0.2273047046367469,-0.10294153097794491,15298,5509,Pde10a,6.288716846514756e-42,True
1359,41097359.0,2.1719165284602018e-42,0.005452631471557459,0.028789161315217342,-0.023336529843659883,15298,5509,Mrgprx1,8.633999571713156e-42,False
2726,44622865.0,2.8393038624312486e-42,0.08352218841054922,0.028364376244657433,0.05515781216589179,15298,5509,Setd4,1.1270676435050022e-41,False
1890,38065415.5,3.162038067747558e-42,0.2457226085503124,0.37795733433719725,-0.13223472578688486,15298,5509,Vstm5,1.2533585674332711e-41,True
1469,39072092.0,3.458695683412095e-42,0.09933353127582593,0.17851794394638773,-0.0791844126705618,15298,5509,Tcerg1l,1.368962763260793e-41,False
1296,40227885.5,3.849719577842975e-42,0.03340083385078186,0.075307255529195,-0.04190642167841314,15298,5509,Cd79a,1.521529341820887e-41,False
1292,47213009.5,4.640967932748067e-42,0.9715713586847988,0.8795456462442014,0.09202571244059743,15298,5509,Bcam,1.8316085564308748e-41,False
2384,37291140.5,4.884455482228689e-42,0.557311199277525,0.7977454750958105,-0.24043427581828547,15298,5509,Med10,1.924925899696753e-41,True
2003,39116726.0,6.499078381523122e-42,0.09981814832621787,0.2092676403810493,-0.10944949205483144,15298,5509,Ooep,2.557550988987876e-41,True
2565,44660935.5,6.685252814343503e-42,0.08953988384103491,0.03155265825324546,0.05798722558778945,15298,5509,Wisp1,2.6270354090846956e-41,False
1797,37470516.5,6.828665325569704e-42,0.48204992267398167,0.7090905349115829,-0.22704061223760125,15298,5509,Prrxl1,2.676217653383171e-41,True
42,38803987.0,6.829981433497087e-42,0.14497994201096961,0.2878104984048225,-0.14283055639385286,15298,5509,Cdk15,2.676217653383171e-41,True
259,38556327.5,6.9039402482704e-42,0.14859163234228293,0.23183953086466552,-0.0832478985223826,15298,5509,Scai,2.7013271214620235e-41,False
2541,37648720.0,7.449886919588661e-42,0.3823817294290658,0.5050503622137331,-0.12266863278466733,15298,5509,Ctnnd2,2.910777246439284e-41,True
2165,37652794.0,8.23797882990958e-42,0.37509020004996413,0.5204656767910282,-0.14537547674106405,15298,5509,Rap1gap2,3.214104436491113e-41,True
557,39130047.5,9.100408897363035e-42,0.11448252662361125,0.2154714472619702,-0.10098892063835896,15298,5509,P2ry1,3.5455296772489886e-41,True
2096,38744426.5,1.1940743062031297e-41,0.2060055430416915,0.3425658763021183,-0.13656033326042682,15298,5509,Hba-a1,4.64550956965229e-41,True
1786,43627083.5,1.3378130008841073e-41,0.03214391583487689,0.0017614921996440794,0.030382423635232813,15298,5509,Kcnk16,5.197327496332434e-41,False
696,39415724.0,1.6881987172865344e-41,0.10153318618662076,0.2098133435544411,-0.10828015736782033,15298,5509,Lpar3,6.549253179827903e-41,True
