gene,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC,log1p_diff,pval_adj,mean_late,mean_control,best_celltype
Npy,-0.03981287039884326,0.07249944855996142,-0.05686485299283133,-0.019261126547772744,0.07659711128183269,-0.03833001226648578,-0.04505788160161653,0.013368183388898381,0.0016837463808729175,2.055423224077133,0.0,2.0594533939072517,0.004030169830118439,Satellite
Nrn1,-0.08503337976551537,-0.09317426961248773,0.6342376213300492,-0.03490647762991956,-0.17774625937231792,-0.15298881848111012,-0.13023131608796543,-0.022996611471084297,-0.049161404993622274,-0.6724488381166249,0.0,1.6954812756981867,2.3679301138148117,Neuron
Nts,-0.04568441661874699,0.011999472582635548,0.14944837352597382,-0.030282556392037644,0.0002073943166386176,-0.06762896372810509,-0.04416060831367943,-0.024844086307603118,-0.01425465657230759,1.4606262284646216,0.0,1.5101780360200037,0.049551807555381994,Neuron
Ogfrl1,-0.07642189459412253,-0.09346854801623695,0.7048954970243381,-0.056968468612439205,-0.23301472040208485,-0.18121578976047295,-0.10089929224291348,-0.005499512471544719,-0.06723537870040541,-0.43427832048452497,5.003840902444299e-220,0.6939394555268789,1.1282177760114038,Neuron
Pcsk1n,-0.1005830300862999,-0.12497748697317233,0.8159988494222209,-0.05188738458321612,-0.21451183293464618,-0.19003596730333458,-0.17778107152272976,-0.0480213361491389,-0.06687032040049641,-0.4309942903696258,4.4137281286431774e-203,2.6012685653080685,3.0322628556776943,Neuron
Plin2,-0.059735401297684204,-0.00314989707739283,0.35649572165433374,-0.049029259363803736,-0.09307902630997024,-0.15351936458451987,-0.019798300223741908,-0.011009462596616263,-0.04405624060859607,0.35139057745339464,0.0,0.65599989398348,0.3046093165300854,Neuron
Ppp1r1c,-0.0817979983759468,-0.11880325396253986,0.7390756546242836,-0.05140640679815928,-0.20591539964122196,-0.17273896291095192,-0.12901354571795573,-0.05424461342339408,-0.06661183414293208,-0.6211245027625536,5.60312539740195e-280,1.2099998120001894,1.831124314762743,Neuron
Rasgrf2,-0.05444543658929717,-0.03668410396154098,0.25171113373372556,-0.039757073157963674,-0.08379403971495548,-0.10614143368262889,0.06789164433365387,-0.01692206866485197,-0.029702395632503386,0.35444861399581196,0.0,0.5175628782432136,0.16311426424740158,Neuron
Rgs10,-0.08529815708138845,-0.003666398051358624,0.6577983501920456,-0.04351340752509168,-0.2135029330668029,-0.17267264990405154,-0.14171083675851226,-0.06341699349292536,-0.06385550690273131,-0.72181696659729,1.6036577854004387e-301,1.0545988415745267,1.7764158081718167,Neuron
Rgs7bp,-0.09291116874252019,-0.1297951356072751,0.768576629371789,-0.06137539053705388,-0.23379994914551783,-0.18498296859761484,-0.1009967529181896,-0.051784305217863695,-0.043295686149706664,-0.6721928168695719,0.0,1.1882534429175615,1.8604462597871334,Neuron
